HASH,HASH_W_LEADING_ZEROS,API_NAME
0xe992abfe,0xe992abfe,??0UniqueJSONStrings@baseprofiler@mozilla@@QEAA@W4CollectionStyle@JSONWriter@2@@Z
0x1b7871b4,0x1b7871b4,??0__non_rtti_object@@QAE@ABV0@@Z
0x92e4d122,0x92e4d122,??0__non_rtti_object@@QAE@PBD@Z
0x241f6f1,0x0241f6f1,??0bad_cast@@AAE@PBQBD@Z
0x9e3aa71,0x09e3aa71,??0bad_cast@@QAE@ABQBD@Z
0x546a36b6,0x546a36b6,??0bad_cast@@QAE@ABV0@@Z
0x345851fb,0x345851fb,??0bad_cast@@QAE@PBD@Z
0x5ff6aab5,0x5ff6aab5,??0bad_typeid@@QAE@ABV0@@Z
0xdc454e9a,0xdc454e9a,??0bad_typeid@@QAE@PBD@Z
0x5e5a37ec,0x5e5a37ec,??0exception@@QAE@ABQBD@Z
0x3d3ab2b,0x03d3ab2b,??0exception@@QAE@ABV0@@Z
0xde64b3db,0xde64b3db,??0exception@@QAE@XZ
0xa3a0324f,0xa3a0324f,??1AutoSuppressStackWalking@@QEAA@XZ
0x27f2346b,0x27f2346b,??1ConditionVariableImpl@detail@mozilla@@QAE@XZ
0xf8e1ce1d,0xf8e1ce1d,??1ConditionVariableImpl@detail@mozilla@@QEAA@XZ
0x88e1c6a1,0x88e1c6a1,??1LZ4FrameCompressionContext@Compression@mozilla@@QAE@XZ
0x2273efae,0x2273efae,??1LZ4FrameCompressionContext@Compression@mozilla@@QEAA@XZ
0x39fa4188,0x39fa4188,??1LZ4FrameDecompressionContext@Compression@mozilla@@QAE@XZ
0x800b5667,0x800b5667,??1LZ4FrameDecompressionContext@Compression@mozilla@@QEAA@XZ
0x6b358a3e,0x6b358a3e,??1MutexImpl@detail@mozilla@@QAE@XZ
0x3ed5700e,0x3ed5700e,??1MutexImpl@detail@mozilla@@QEAA@XZ
0x3974ee6f,0x3974ee6f,??1ProfilingStack@baseprofiler@mozilla@@QAE@XZ
0xea4b167,0x0ea4b167,??1ProfilingStack@baseprofiler@mozilla@@QEAA@XZ
0x71f7076b,0x71f7076b,??1RLBoxSoundTouch@mozilla@@QEAA@XZ
0xe2c1f20d,0xe2c1f20d,??1RWLockImpl@detail@mozilla@@QAE@XZ
0x624823ca,0x624823ca,??1SoundTouch@soundtouch@@UAE@XZ
0x2510e1fa,0x2510e1fa,??1UniqueJSONStrings@baseprofiler@mozilla@@QAE@XZ
0x13b66473,0x13b66473,??1UniqueJSONStrings@baseprofiler@mozilla@@QEAA@XZ
0x1d853522,0x1d853522,??1__non_rtti_object@@UAE@XZ
0x2f1588fe,0x2f1588fe,??1bad_cast@@UAE@XZ
0x85230abe,0x85230abe,??1bad_typeid@@UAE@XZ
0x33a3504e,0x33a3504e,??1exception@@UAE@XZ
0x883b0988,0x883b0988,??1type_info@@UAE@XZ
0xf41f648c,0xf41f648c,??2@YAPAXI@Z
0xc3d66369,0xc3d66369,??2@YAPAXIABUnothrow_t@std@@@Z
0xa9d18d43,0xa9d18d43,??3@YAXPAX@Z
0xc64a660e,0xc64a660e,??3@YAXPAXABUnothrow_t@std@@@Z
0x52e2464c,0x52e2464c,??3@YAXPAXI@Z
0x5ca39093,0x5ca39093,??4Decimal@blink@@QAEAAV01@ABV01@@Z
0xca548590,0xca548590,??4Decimal@blink@@QEAAAEAV01@AEBV01@@Z
0xe0235b74,0xe0235b74,??4SoundTouch@soundtouch@@QAEAAV01@ABV01@@Z
0xe462a6b2,0xe462a6b2,??4__non_rtti_object@@QAEAAV0@ABV0@@Z
0x55356ca8,0x55356ca8,??4bad_cast@@QAEAAV0@ABV0@@Z
0xece94a2c,0xece94a2c,??4bad_typeid@@QAEAAV0@ABV0@@Z
0xe97b9db7,0xe97b9db7,??4exception@@QAEAAV0@ABV0@@Z
0x48b24f30,0x48b24f30,??8AwakeTimeDuration@mozilla@@QBE_NABV01@@Z
0x6935ed17,0x6935ed17,??8AwakeTimeStamp@mozilla@@QBE_NABV01@@Z
0x240c199f,0x240c199f,??8Decimal@blink@@QBE_NABV01@@Z
0xc7dc751d,0xc7dc751d,??8Decimal@blink@@QEBA_NAEBV01@@Z
0xc25b93ed,0xc25b93ed,??8type_info@@QBEHABV0@@Z
0x88e1176d,0x88e1176d,??9AwakeTimeDuration@mozilla@@QBE_NABV01@@Z
0x9c24eea2,0x9c24eea2,??9AwakeTimeStamp@mozilla@@QBE_NABV01@@Z
0x51b25f28,0x51b25f28,??9Decimal@blink@@QBE_NABV01@@Z
0xe6527965,0xe6527965,??9Decimal@blink@@QEBA_NAEBV01@@Z
0xc417ba3d,0xc417ba3d,??9type_info@@QBEHABV0@@Z
0xabe84b41,0xabe84b41,??DDecimal@blink@@QBE?AV01@ABV01@@Z
0x5a1156f3,0x5a1156f3,??DDecimal@blink@@QEBA?AV01@AEBV01@@Z
0x18f8598b,0x18f8598b,??GAwakeTimeDuration@mozilla@@QBE?AV01@ABV01@@Z
0x9e22f60a,0x9e22f60a,??GAwakeTimeStamp@mozilla@@QBE?AVAwakeTimeDuration@1@ABV01@@Z
0x52e88fd4,0x52e88fd4,??GDecimal@blink@@QBE?AV01@ABV01@@Z
0xee129347,0xee129347,??GDecimal@blink@@QBE?AV01@XZ
0x35edcd9c,0x35edcd9c,??GDecimal@blink@@QEBA?AV01@AEBV01@@Z
0x636f732f,0x636f732f,??GDecimal@blink@@QEBA?AV01@XZ
0xeb56e321,0xeb56e321,??GTimeStampValue@mozilla@@QBE_KABV01@@Z
0x8d3f252a,0x8d3f252a,??GTimeStampValue@mozilla@@QEBA_KAEBV01@@Z
0xc3d69796,0xc3d69796,??HAwakeTimeDuration@mozilla@@QBE?AV01@ABV01@@Z
0xb54d0838,0xb54d0838,??HAwakeTimeStamp@mozilla@@QBE?AV01@ABVAwakeTimeDuration@1@@Z
0x42a87fcc,0x42a87fcc,??HDecimal@blink@@QBE?AV01@ABV01@@Z
0xe12226f8,0xe12226f8,??HDecimal@blink@@QEBA?AV01@AEBV01@@Z
0xbba8bb59,0xbba8bb59,??KDecimal@blink@@QBE?AV01@ABV01@@Z
0x8edebd97,0x8edebd97,??KDecimal@blink@@QEBA?AV01@AEBV01@@Z
0x743234a4,0x743234a4,??MAwakeTimeDuration@mozilla@@QBE_NABV01@@Z
0x8dc34641,0x8dc34641,??MAwakeTimeStamp@mozilla@@QBE_NABV01@@Z
0xd4649355,0xd4649355,??MDecimal@blink@@QBE_NABV01@@Z
0x348347d3,0x348347d3,??MDecimal@blink@@QEBA_NAEBV01@@Z
0x3006c1f4,0x3006c1f4,??NAwakeTimeDuration@mozilla@@QBE_NABV01@@Z
0x96315f29,0x96315f29,??NAwakeTimeStamp@mozilla@@QBE_NABV01@@Z
0x4aa6588c,0x4aa6588c,??NDecimal@blink@@QBE_NABV01@@Z
0x5611535b,0x5611535b,??NDecimal@blink@@QEBA_NAEBV01@@Z
0xf05599a9,0xf05599a9,??OAwakeTimeDuration@mozilla@@QBE_NABV01@@Z
0x63205c9c,0x63205c9c,??OAwakeTimeStamp@mozilla@@QBE_NABV01@@Z
0x3f181e3b,0x3f181e3b,??ODecimal@blink@@QBE_NABV01@@Z
0x779f5f23,0x779f5f23,??ODecimal@blink@@QEBA_NAEBV01@@Z
0x904ababa,0x904ababa,??PAwakeTimeDuration@mozilla@@QBE_NABV01@@Z
0x7e45a6b9,0x7e45a6b9,??PAwakeTimeStamp@mozilla@@QBE_NABV01@@Z
0x96f0fa9d,0x96f0fa9d,??PDecimal@blink@@QBE_NABV01@@Z
0x8ae6f8d2,0x8ae6f8d2,??PDecimal@blink@@QEBA_NAEBV01@@Z
0x613bf47d,0x613bf47d,??RFileHandleDeleter@detail@mozilla@@QAEXUFileHandleHelper@12@@Z
0x38582bc,0x038582bc,??RFileHandleDeleter@detail@mozilla@@QEAAXUFileHandleHelper@12@@Z
0x24ea59b7,0x24ea59b7,??RProfilerBacktraceDestructor@baseprofiler@mozilla@@QAEXPAVProfilerBacktrace@12@@Z
0x92e17f8f,0x92e17f8f,??RProfilerBacktraceDestructor@baseprofiler@mozilla@@QEAAXPEAVProfilerBacktrace@12@@Z
0xd26703a8,0xd26703a8,??XDecimal@blink@@QAEAAV01@ABV01@@Z
0xb9a4c100,0xb9a4c100,??XDecimal@blink@@QEAAAEAV01@AEBV01@@Z
0x63ecf8b9,0x63ecf8b9,??YAwakeTimeDuration@mozilla@@QAEXABV01@@Z
0xf89f7b88,0xf89f7b88,??YAwakeTimeStamp@mozilla@@QAEXABVAwakeTimeDuration@1@@Z
0x7927b4b6,0x7927b4b6,??YDecimal@blink@@QAEAAV01@ABV01@@Z
0x9e7432e6,0x9e7432e6,??YDecimal@blink@@QEAAAEAV01@AEBV01@@Z
0xe98b134c,0xe98b134c,??YTimeStampValue@mozilla@@QAEAAV01@_J@Z
0x68614058,0x68614058,??YTimeStampValue@mozilla@@QEAAAEAV01@_J@Z
0x124cb94c,0x124cb94c,??ZAwakeTimeDuration@mozilla@@QAEXABV01@@Z
0xf9f20655,0xf9f20655,??ZAwakeTimeStamp@mozilla@@QAEXABVAwakeTimeDuration@1@@Z
0x80277023,0x80277023,??ZDecimal@blink@@QAEAAV01@ABV01@@Z
0xf60526cc,0xf60526cc,??ZDecimal@blink@@QEAAAEAV01@AEBV01@@Z
0xf2790a24,0xf2790a24,??ZTimeStampValue@mozilla@@QAEAAV01@_J@Z
0x19c101ad,0x19c101ad,??ZTimeStampValue@mozilla@@QEAAAEAV01@_J@Z
0xc200e3bf,0xc200e3bf,??_0Decimal@blink@@QAEAAV01@ABV01@@Z
0x20ad0b19,0x20ad0b19,??_0Decimal@blink@@QEAAAEAV01@AEBV01@@Z
0xc5246e04,0xc5246e04,??_7SoundTouch@soundtouch@@6B@
0x47f57fcf,0x47f57fcf,??_7__non_rtti_object@@6B@
0x103c108e,0x103c108e,??_7bad_cast@@6B@
0xb6efca11,0xb6efca11,??_7bad_typeid@@6B@
0xf7fc9491,0xf7fc9491,??_7exception@@6B@
0xe248afe9,0xe248afe9,??_FDecimal@blink@@QAEXXZ
0xc478781f,0xc478781f,??_FDecimal@blink@@QEAAXXZ
0xa98b4c76,0xa98b4c76,??_FLZ4FrameDecompressionContext@Compression@mozilla@@QAEXXZ
0x18565c09,0x18565c09,??_FLZ4FrameDecompressionContext@Compression@mozilla@@QEAAXXZ
0xea817e6a,0xea817e6a,??_FUniqueJSONStrings@baseprofiler@mozilla@@QAEXXZ
0x2ba116a7,0x2ba116a7,??_FUniqueJSONStrings@baseprofiler@mozilla@@QEAAXXZ
0x8f3e065c,0x8f3e065c,??_Fbad_cast@@QAEXXZ
0xf524f6f3,0xf524f6f3,??_Fbad_typeid@@QAEXXZ
0xa5f18078,0xa5f18078,??_U@YAPAXI@Z
0x7f21a11a,0x7f21a11a,??_U@YAPAXIABUnothrow_t@std@@@Z
0xfddf34ce,0xfddf34ce,??_V@YAXPAX@Z
0x785f5acb,0x785f5acb,??_V@YAXPAXABUnothrow_t@std@@@Z
0x37c81697,0x37c81697,??_V@YAXPAXI@Z
0x9d04d718,0x9d04d718,?AddRef@PageInformation@baseprofiler@mozilla@@QBEXXZ
0xa694965a,0xa694965a,?AddRef@PageInformation@baseprofiler@mozilla@@QEBAXXZ
0x6e5d07a7,0x6e5d07a7,?AddRef@ThreadInfo@baseprofiler@mozilla@@QBEXXZ
0x7bbff28a,0x7bbff28a,?AddRef@ThreadInfo@baseprofiler@mozilla@@QEBAXXZ
0xe12486bb,0xe12486bb,?BeginCompressing@LZ4FrameCompressionContext@Compression@mozilla@@QAE?AV?$Result@V?$Span@$$CBD$0PPPPPPPP@@mozilla@@I@3@V?$Span@D$0PPPPPPPP@@3@@Z
0x6244dff5,0x6244dff5,?BeginCompressing@LZ4FrameCompressionContext@Compression@mozilla@@QEAA?AV?$Result@V?$Span@$$CBD$0?0@mozilla@@_K@3@V?$Span@D$0?0@3@@Z
0x26401365,0x26401365,?BeginProcessRuntimeInit@detail@mscom@mozilla@@YAAAW4ProcessInitState@123@XZ
0xf0f494bd,0xf0f494bd,?BeginProcessRuntimeInit@detail@mscom@mozilla@@YAAEA_NXZ
0xe0a369da,0xe0a369da,?CacheNtDllThunk@mozilla@@YAXXZ
0xf6b02d88,0xf6b02d88,?CheckQPC@TimeStampValue@mozilla@@ABE_KABV12@@Z
0xdac8dcaf,0xdac8dcaf,?CheckQPC@TimeStampValue@mozilla@@AEBA_KAEBV12@@Z
0x5866e8e1,0x5866e8e1,?CleanupProcessRuntime@mozilla@@YAXXZ
0x3274a4fd,0x3274a4fd,?ComputeProcessUptime@TimeStamp@mozilla@@CA_KXZ
0xa8ed2e44,0xa8ed2e44,?ConsumePreXULSkeletonUIHandle@mozilla@@YAPAUHWND__@@XZ
0x6443edb5,0x6443edb5,?ConsumePreXULSkeletonUIHandle@mozilla@@YAPEAUHWND__@@XZ
0x4a412967,0x4a412967,?ContinueCompressing@LZ4FrameCompressionContext@Compression@mozilla@@QAE?AV?$Result@V?$Span@$$CBD$0PPPPPPPP@@mozilla@@I@3@V?$Span@$$CBD$0PPPPPPPP@@3@@Z
0x1af28d7a,0x1af28d7a,?ContinueCompressing@LZ4FrameCompressionContext@Compression@mozilla@@QEAA?AV?$Result@V?$Span@$$CBD$0?0@mozilla@@_K@3@V?$Span@$$CBD$0?0@3@@Z
0xa6ba55ef,0xa6ba55ef,?CreateAndStorePreXULSkeletonUI@mozilla@@YAXPAUHINSTANCE__@@HPAPAD@Z
0x1aa1a976,0x1aa1a976,?CreateAndStorePreXULSkeletonUI@mozilla@@YAXPEAUHINSTANCE__@@HPEAPEAD@Z
