HASH,HASH_W_LEADING_ZEROS,API_NAME
0xc342b626,0xc342b626,??0UniqueJSONStrings@baseprofiler@mozilla@@QEAA@AEBV012@W4CollectionStyle@JSONWriter@2@@Z
0x61db0568,0x61db0568,??0UniqueJSONStrings@baseprofiler@mozilla@@QEAA@W4CollectionStyle@JSONWriter@2@@Z
0x45cb6738,0x45cb6738,??0__non_rtti_object@@QAE@ABV0@@Z
0xcf8d1393,0xcf8d1393,??0__non_rtti_object@@QAE@PBD@Z
0xe4ae0607,0xe4ae0607,??0bad_cast@@AAE@PBQBD@Z
0x8bf155b6,0x8bf155b6,??0bad_cast@@QAE@ABQBD@Z
0xffee496d,0xffee496d,??0bad_cast@@QAE@ABV0@@Z
0xd819b0c4,0xd819b0c4,??0bad_cast@@QAE@PBD@Z
0xd9c4cd68,0xd9c4cd68,??0bad_typeid@@QAE@ABV0@@Z
0xd5c1c8d6,0xd5c1c8d6,??0bad_typeid@@QAE@PBD@Z
0x58a88834,0x58a88834,??0exception@@QAE@ABQBD@Z
0x2cb794ef,0x2cb794ef,??0exception@@QAE@ABV0@@Z
0x14f84a4f,0x14f84a4f,??0exception@@QAE@XZ
0x46eeb049,0x46eeb049,??1AutoSuppressStackWalking@@QEAA@XZ
0xcd17896a,0xcd17896a,??1ConditionVariableImpl@detail@mozilla@@QAE@XZ
0x2b8db51,0x02b8db51,??1ConditionVariableImpl@detail@mozilla@@QEAA@XZ
0xe345dd4,0x0e345dd4,??1LZ4FrameCompressionContext@Compression@mozilla@@QAE@XZ
0x2ea2660e,0x2ea2660e,??1LZ4FrameCompressionContext@Compression@mozilla@@QEAA@XZ
0xb99aea7b,0xb99aea7b,??1LZ4FrameDecompressionContext@Compression@mozilla@@QAE@XZ
0x687c76c0,0x687c76c0,??1LZ4FrameDecompressionContext@Compression@mozilla@@QEAA@XZ
0xe0d227c,0x0e0d227c,??1MutexImpl@detail@mozilla@@QAE@XZ
0xf6af74ab,0xf6af74ab,??1MutexImpl@detail@mozilla@@QEAA@XZ
0x7ef7947c,0x7ef7947c,??1ProfilingStack@baseprofiler@mozilla@@QAE@XZ
0xf6df8e1d,0xf6df8e1d,??1ProfilingStack@baseprofiler@mozilla@@QEAA@XZ
0xaf5aac57,0xaf5aac57,??1RLBoxSoundTouch@mozilla@@QEAA@XZ
0xadc847b6,0xadc847b6,??1RWLockImpl@detail@mozilla@@QAE@XZ
0xebe8e6fd,0xebe8e6fd,??1SoundTouch@soundtouch@@UAE@XZ
0x8c944067,0x8c944067,??1UniqueJSONStrings@baseprofiler@mozilla@@QAE@XZ
0x7c482425,0x7c482425,??1UniqueJSONStrings@baseprofiler@mozilla@@QEAA@XZ
0x148d8a9d,0x148d8a9d,??1__non_rtti_object@@UAE@XZ
0x665da8b0,0x665da8b0,??1bad_cast@@UAE@XZ
0x25df917,0x025df917,??1bad_typeid@@UAE@XZ
0x603bbeb8,0x603bbeb8,??1exception@@UAE@XZ
0xcf57d0f9,0xcf57d0f9,??1type_info@@UAE@XZ
0xdf530801,0xdf530801,??2@YAPAXI@Z
0x88b220da,0x88b220da,??2@YAPAXIABUnothrow_t@std@@@Z
0xb1b78e32,0xb1b78e32,??3@YAXPAX@Z
0x12a91412,0x12a91412,??3@YAXPAXABUnothrow_t@std@@@Z
0x2e26703d,0x2e26703d,??3@YAXPAXI@Z
0x477d91fe,0x477d91fe,??4Decimal@blink@@QAEAAV01@ABV01@@Z
0x51e1e216,0x51e1e216,??4Decimal@blink@@QEAAAEAV01@AEBV01@@Z
0x151ab461,0x151ab461,??4SoundTouch@soundtouch@@QAEAAV01@ABV01@@Z
0x1c91fbbc,0x1c91fbbc,??4__non_rtti_object@@QAEAAV0@ABV0@@Z
0xb3d820cf,0xb3d820cf,??4bad_cast@@QAEAAV0@ABV0@@Z
0xf31f48de,0xf31f48de,??4bad_typeid@@QAEAAV0@ABV0@@Z
0x4eaf60f4,0x4eaf60f4,??4exception@@QAEAAV0@ABV0@@Z
0x15b7c50,0x015b7c50,??8AwakeTimeDuration@mozilla@@QBE_NABV01@@Z
0x178c2052,0x178c2052,??8AwakeTimeStamp@mozilla@@QBE_NABV01@@Z
0x56cdfcf,0x056cdfcf,??8Decimal@blink@@QBE_NABV01@@Z
0x9dabc339,0x9dabc339,??8Decimal@blink@@QEBA_NAEBV01@@Z
0xc2e414d4,0xc2e414d4,??8type_info@@QBEHABV0@@Z
0xe94cecf1,0xe94cecf1,??9AwakeTimeDuration@mozilla@@QBE_NABV01@@Z
0x9a04ddb0,0x9a04ddb0,??9AwakeTimeStamp@mozilla@@QBE_NABV01@@Z
0x666b06eb,0x666b06eb,??9Decimal@blink@@QBE_NABV01@@Z
0x934c2be8,0x934c2be8,??9Decimal@blink@@QEBA_NAEBV01@@Z
0x5997fe00,0x5997fe00,??9type_info@@QBEHABV0@@Z
0x2fa3c314,0x2fa3c314,??DDecimal@blink@@QBE?AV01@ABV01@@Z
0xbb57b398,0xbb57b398,??DDecimal@blink@@QEBA?AV01@AEBV01@@Z
0x3c989b11,0x3c989b11,??GAwakeTimeDuration@mozilla@@QBE?AV01@ABV01@@Z
0x3df73df2,0x3df73df2,??GAwakeTimeStamp@mozilla@@QBE?AVAwakeTimeDuration@1@ABV01@@Z
0x74b47201,0x74b47201,??GDecimal@blink@@QBE?AV01@ABV01@@Z
0xbbfc0b3d,0xbbfc0b3d,??GDecimal@blink@@QBE?AV01@XZ
0x30848d81,0x30848d81,??GDecimal@blink@@QEBA?AV01@AEBV01@@Z
0xf9074266,0xf9074266,??GDecimal@blink@@QEBA?AV01@XZ
0x25d32611,0x25d32611,??GTimeStampValue@mozilla@@QBE_KABV01@@Z
0xd10f26a9,0xd10f26a9,??GTimeStampValue@mozilla@@QEBA_KAEBV01@@Z
0xfc7e1fd0,0xfc7e1fd0,??HAwakeTimeDuration@mozilla@@QBE?AV01@ABV01@@Z
0x47292e35,0x47292e35,??HAwakeTimeStamp@mozilla@@QBE?AV01@ABVAwakeTimeDuration@1@@Z
0x988c0101,0x988c0101,??HDecimal@blink@@QBE?AV01@ABV01@@Z
0xf988413f,0xf988413f,??HDecimal@blink@@QEBA?AV01@AEBV01@@Z
0xc39bb014,0xc39bb014,??KDecimal@blink@@QBE?AV01@ABV01@@Z
0x725b7f26,0x725b7f26,??KDecimal@blink@@QEBA?AV01@AEBV01@@Z
0xa0560cfe,0xa0560cfe,??MAwakeTimeDuration@mozilla@@QBE_NABV01@@Z
0x7f4af47a,0x7f4af47a,??MAwakeTimeStamp@mozilla@@QBE_NABV01@@Z
0x179ccba3,0x179ccba3,??MDecimal@blink@@QBE_NABV01@@Z
0x4e39211f,0x4e39211f,??MDecimal@blink@@QEBA_NAEBV01@@Z
0x431fbb5c,0x431fbb5c,??NAwakeTimeDuration@mozilla@@QBE_NABV01@@Z
0x32a2f41d,0x32a2f41d,??NAwakeTimeStamp@mozilla@@QBE_NABV01@@Z
0xb294a0cf,0xb294a0cf,??NDecimal@blink@@QBE_NABV01@@Z
0x5d11186c,0x5d11186c,??NDecimal@blink@@QEBA_NAEBV01@@Z
0xab082bfd,0xab082bfd,??OAwakeTimeDuration@mozilla@@QBE_NABV01@@Z
0xbf2a09ff,0xbf2a09ff,??OAwakeTimeStamp@mozilla@@QBE_NABV01@@Z
0xd19379eb,0xd19379eb,??ODecimal@blink@@QBE_NABV01@@Z
0x53f6f0bd,0x53f6f0bd,??ODecimal@blink@@QEBA_NAEBV01@@Z
0x2974764d,0x2974764d,??PAwakeTimeDuration@mozilla@@QBE_NABV01@@Z
0xaba1fd28,0xaba1fd28,??PAwakeTimeStamp@mozilla@@QBE_NABV01@@Z
0xbe138f1,0x0be138f1,??PDecimal@blink@@QBE_NABV01@@Z
0xe200a112,0xe200a112,??PDecimal@blink@@QEBA_NAEBV01@@Z
0xb8320885,0xb8320885,??RFileHandleDeleter@detail@mozilla@@QAEXUFileHandleHelper@12@@Z
0xb8b0bcd0,0xb8b0bcd0,??RFileHandleDeleter@detail@mozilla@@QEAAXUFileHandleHelper@12@@Z
0xfe0d021a,0xfe0d021a,??RProfilerBacktraceDestructor@baseprofiler@mozilla@@QAEXPAVProfilerBacktrace@12@@Z
0xde0da8be,0xde0da8be,??RProfilerBacktraceDestructor@baseprofiler@mozilla@@QEAAXPEAVProfilerBacktrace@12@@Z
0x497b5084,0x497b5084,??XDecimal@blink@@QAEAAV01@ABV01@@Z
0x33054ca4,0x33054ca4,??XDecimal@blink@@QEAAAEAV01@AEBV01@@Z
0xfc71eb5c,0xfc71eb5c,??YAwakeTimeDuration@mozilla@@QAEXABV01@@Z
0xbb944be6,0xbb944be6,??YAwakeTimeStamp@mozilla@@QAEXABVAwakeTimeDuration@1@@Z
0x7f89c077,0x7f89c077,??YDecimal@blink@@QAEAAV01@ABV01@@Z
0xa6759831,0xa6759831,??YDecimal@blink@@QEAAAEAV01@AEBV01@@Z
0x50c3e5ea,0x50c3e5ea,??YTimeStampValue@mozilla@@QAEAAV01@_J@Z
0xe6ef5b09,0xe6ef5b09,??YTimeStampValue@mozilla@@QEAAAEAV01@_J@Z
0xd6cd5bd4,0xd6cd5bd4,??ZAwakeTimeDuration@mozilla@@QAEXABV01@@Z
0xb97ab13c,0xb97ab13c,??ZAwakeTimeStamp@mozilla@@QAEXABVAwakeTimeDuration@1@@Z
0x249e7162,0x249e7162,??ZDecimal@blink@@QAEAAV01@ABV01@@Z
0xc295e3cf,0xc295e3cf,??ZDecimal@blink@@QEAAAEAV01@AEBV01@@Z
0x1d2be58d,0x1d2be58d,??ZTimeStampValue@mozilla@@QAEAAV01@_J@Z
0xcc53eb81,0xcc53eb81,??ZTimeStampValue@mozilla@@QEAAAEAV01@_J@Z
0xf6ef50f8,0xf6ef50f8,??_0Decimal@blink@@QAEAAV01@ABV01@@Z
0x998c8a72,0x998c8a72,??_0Decimal@blink@@QEAAAEAV01@AEBV01@@Z
0x454a8378,0x454a8378,??_7SoundTouch@soundtouch@@6B@
0x386b6597,0x386b6597,??_7__non_rtti_object@@6B@
0x4b239884,0x4b239884,??_7bad_cast@@6B@
0x24a69cbf,0x24a69cbf,??_7bad_typeid@@6B@
0x1612d753,0x1612d753,??_7exception@@6B@
0x4f9e8196,0x4f9e8196,??_FDecimal@blink@@QAEXXZ
0x31a961d6,0x31a961d6,??_FDecimal@blink@@QEAAXXZ
0x702af08a,0x702af08a,??_FLZ4FrameDecompressionContext@Compression@mozilla@@QAEXXZ
0x259789e8,0x259789e8,??_FLZ4FrameDecompressionContext@Compression@mozilla@@QEAAXXZ
0xe4806b24,0xe4806b24,??_FUniqueJSONStrings@baseprofiler@mozilla@@QAEXXZ
0x146dad9c,0x146dad9c,??_FUniqueJSONStrings@baseprofiler@mozilla@@QEAAXXZ
0x1f6cbbeb,0x1f6cbbeb,??_Fbad_cast@@QAEXXZ
0x82d22700,0x82d22700,??_Fbad_typeid@@QAEXXZ
0xe81439c7,0xe81439c7,??_U@YAPAXI@Z
0xa85dca3e,0xa85dca3e,??_U@YAPAXIABUnothrow_t@std@@@Z
0x82056fc9,0x82056fc9,??_V@YAXPAX@Z
