HASH,HASH_W_LEADING_ZEROS,API_NAME
0x5bef72c5,0x5bef72c5,??0UniqueJSONStrings@baseprofiler@mozilla@@QEAA@AEBV012@W4CollectionStyle@JSONWriter@2@@Z
0x7958e3ed,0x7958e3ed,??0UniqueJSONStrings@baseprofiler@mozilla@@QEAA@W4CollectionStyle@JSONWriter@2@@Z
0xf19c62a,0x0f19c62a,??0__non_rtti_object@@QAE@ABV0@@Z
0x7f8027c8,0x7f8027c8,??0__non_rtti_object@@QAE@PBD@Z
0xc7dc977e,0xc7dc977e,??0bad_cast@@AAE@PBQBD@Z
0xcc7ecbfe,0xcc7ecbfe,??0bad_cast@@QAE@ABQBD@Z
0x400b8128,0x400b8128,??0bad_cast@@QAE@ABV0@@Z
0xd93ca711,0xd93ca711,??0bad_cast@@QAE@PBD@Z
0x4b971d2b,0x4b971d2b,??0bad_typeid@@QAE@ABV0@@Z
0x3121b870,0x3121b870,??0bad_typeid@@QAE@PBD@Z
0x9bc75663,0x9bc75663,??0exception@@QAE@ABQBD@Z
0x17b21cb5,0x17b21cb5,??0exception@@QAE@ABV0@@Z
0xe72afd9a,0xe72afd9a,??0exception@@QAE@XZ
0xd65cb873,0xd65cb873,??1AutoSuppressStackWalking@@QEAA@XZ
0xe827a4a8,0xe827a4a8,??1ConditionVariableImpl@detail@mozilla@@QAE@XZ
0x16b40c8,0x016b40c8,??1ConditionVariableImpl@detail@mozilla@@QEAA@XZ
0x2c60804e,0x2c60804e,??1LZ4FrameCompressionContext@Compression@mozilla@@QAE@XZ
0x8c1408d,0x08c1408d,??1LZ4FrameCompressionContext@Compression@mozilla@@QEAA@XZ
0x7347a54a,0x7347a54a,??1LZ4FrameDecompressionContext@Compression@mozilla@@QAE@XZ
0x6f3c5237,0x6f3c5237,??1LZ4FrameDecompressionContext@Compression@mozilla@@QEAA@XZ
0xa4f51777,0xa4f51777,??1MutexImpl@detail@mozilla@@QAE@XZ
0xd25274db,0xd25274db,??1MutexImpl@detail@mozilla@@QEAA@XZ
0xaea34c84,0xaea34c84,??1ProfilingStack@baseprofiler@mozilla@@QAE@XZ
0xab83510d,0xab83510d,??1ProfilingStack@baseprofiler@mozilla@@QEAA@XZ
0x502ed564,0x502ed564,??1RLBoxSoundTouch@mozilla@@QEAA@XZ
0x3c06c543,0x3c06c543,??1RWLockImpl@detail@mozilla@@QAE@XZ
0x2a397bf7,0x2a397bf7,??1SoundTouch@soundtouch@@UAE@XZ
0x3651a3a3,0x3651a3a3,??1UniqueJSONStrings@baseprofiler@mozilla@@QAE@XZ
0x5a79a02b,0x5a79a02b,??1UniqueJSONStrings@baseprofiler@mozilla@@QEAA@XZ
0x24cb7b63,0x24cb7b63,??1__non_rtti_object@@UAE@XZ
0x165bc6bf,0x165bc6bf,??1bad_cast@@UAE@XZ
0xbc6d44ff,0xbc6d44ff,??1bad_typeid@@UAE@XZ
0xaed1e0f,0x0aed1e0f,??1exception@@UAE@XZ
0xb17547c9,0xb17547c9,??1type_info@@UAE@XZ
0x41b32c05,0x41b32c05,??2@YAPAXI@Z
0xac57b5d3,0xac57b5d3,??2@YAPAXIABUnothrow_t@std@@@Z
0x1c7dc5ca,0x1c7dc5ca,??3@YAXPAX@Z
0xa9cbb0b4,0xa9cbb0b4,??3@YAXPAXABUnothrow_t@std@@@Z
0xd7c4397f,0xd7c4397f,??3@YAXPAXI@Z
0xf4c534c5,0xf4c534c5,??4Decimal@blink@@QAEAAV01@ABV01@@Z
0x7aca16,0x007aca16,??4Decimal@blink@@QEAAAEAV01@AEBV01@@Z
0xa21576b6,0xa21576b6,??4SoundTouch@soundtouch@@QAEAAV01@ABV01@@Z
0x4954d09c,0x4954d09c,??4__non_rtti_object@@QAEAAV0@ABV0@@Z
0xf8031a86,0xf8031a86,??4bad_cast@@QAEAAV0@ABV0@@Z
0x41df3c02,0x41df3c02,??4bad_typeid@@QAEAAV0@ABV0@@Z
0x444deb99,0x444deb99,??4exception@@QAEAAV0@ABV0@@Z
0x5584a0b5,0x5584a0b5,??8AwakeTimeDuration@mozilla@@QBE_NABV01@@Z
0x6fd353cc,0x6fd353cc,??8AwakeTimeStamp@mozilla@@QBE_NABV01@@Z
0x8bd83cbc,0x8bd83cbc,??8Decimal@blink@@QBE_NABV01@@Z
0x438a3d85,0x438a3d85,??8Decimal@blink@@QEBA_NAEBV01@@Z
0x894a7652,0x894a7652,??8type_info@@QBEHABV0@@Z
0x95d7f8e8,0x95d7f8e8,??9AwakeTimeDuration@mozilla@@QBE_NABV01@@Z
0x9ac25079,0x9ac25079,??9AwakeTimeStamp@mozilla@@QBE_NABV01@@Z
0xfe667a0b,0xfe667a0b,??9Decimal@blink@@QBE_NABV01@@Z
0x620431fd,0x620431fd,??9Decimal@blink@@QEBA_NAEBV01@@Z
0x8f065f82,0x8f065f82,??9type_info@@QBEHABV0@@Z
0xe8bd8954,0xe8bd8954,??DDecimal@blink@@QBE?AV01@ABV01@@Z
0xd76c001f,0xd76c001f,??DDecimal@blink@@QEBA?AV01@AEBV01@@Z
0xbbbc8f,0x00bbbc8f,??GAwakeTimeDuration@mozilla@@QBE?AV01@ABV01@@Z
0xe8d8b8cc,0xe8d8b8cc,??GAwakeTimeStamp@mozilla@@QBE?AVAwakeTimeDuration@1@ABV01@@Z
0x11bd4dc1,0x11bd4dc1,??GDecimal@blink@@QBE?AV01@ABV01@@Z
0xab882,0x000ab882,??GDecimal@blink@@QBE?AV01@XZ
0xb8909b70,0xb8909b70,??GDecimal@blink@@QEBA?AV01@AEBV01@@Z
0x26edfa1e,0x26edfa1e,??GDecimal@blink@@QEBA?AV01@XZ
0x58955275,0x58955275,??GTimeStampValue@mozilla@@QBE_KABV01@@Z
0x10751f2f,0x10751f2f,??GTimeStampValue@mozilla@@QEBA_KAEBV01@@Z
0xdb957292,0xdb957292,??HAwakeTimeDuration@mozilla@@QBE?AV01@ABV01@@Z
